Cloud dimensions: X: 0.01 Y: 0.01 Z: 0.01
Radius		X position		Y position		Z position
1e-05		0.0089051		0.0095338		0.0051072
1e-05		0.0038654		0.0075033		0.0004450
1e-05		0.0013052		0.0099866		0.0056340
1e-05		0.0068897		0.0009799		0.0073288
1e-05		0.0080111		0.0052102		0.0067407
1e-05		0.0099525		0.0040572		0.0056563
1e-05		0.0021006		0.0014793		0.0063747
1e-05		0.0067850		0.0045080		0.0002451
1e-05		0.0040935		0.0084465		0.0061057
1e-05		0.0009004		0.0024448		0.0005258
1e-05		0.0045266		0.0043490		0.0096517
1e-05		0.0040470		0.0063821		0.0006035
1e-05		0.0093513		0.0009347		0.0028143
1e-05		0.0012944		0.0022415		0.0060733
1e-05		0.0027785		0.0066772		0.0071267
1e-05		0.0064044		0.0082833		0.0002648
1e-05		0.0035129		0.0013918		0.0067830
1e-05		0.0013707		0.0061994		0.0040811
1e-05		0.0023076		0.0004541		0.0041989
1e-05		0.0069631		0.0080376		0.0090212
1e-05		0.0051471		0.0041808		0.0067676
1e-05		0.0063565		0.0060302		0.0026675
1e-05		0.0013679		0.0018201		0.0077237
1e-05		0.0072120		0.0043982		0.0010345
1e-05		0.0059788		0.0096314		0.0025595
1e-05		0.0074862		0.0004790		0.0070265
1e-05		0.0063860		0.0013558		0.0029107
1e-05		0.0046325		0.0059923		0.0007122
1e-05		0.0070481		0.0022568		0.0003262
1e-05		0.0045158		0.0096621		0.0042190
1e-05		0.0076572		0.0063077		0.0085333
1e-05		0.0009689		0.0098173		0.0092580
1e-05		0.0051211		0.0087582		0.0035137
1e-05		0.0012836		0.0074651		0.0065394
1e-05		0.0003658		0.0070778		0.0093085
1e-05		0.0091236		0.0074025		0.0091152
1e-05		0.0097497		0.0052624		0.0011161
1e-05		0.0029019		0.0082754		0.0003292
1e-05		0.0098776		0.0074640		0.0014659
1e-05		0.0070003		0.0036977		0.0032666
1e-05		0.0017813		0.0006768		0.0050432
1e-05		0.0008296		0.0029097		0.0029388
1e-05		0.0083051		0.0026065		0.0088240
1e-05		0.0034622		0.0030026		0.0061708
1e-05		0.0037069		0.0016425		0.0022363
1e-05		0.0090580		0.0005131		0.0055883
1e-05		0.0083502		0.0019795		0.0027616
1e-05		0.0075560		0.0094230		0.0064982
1e-05		0.0076266		0.0020267		0.0063984
1e-05		0.0034026		0.0051605		0.0087003
1e-05		0.0037056		0.0061385		0.0031718
1e-05		0.0090800		0.0068850		0.0014480
1e-05		0.0056992		0.0064526		0.0022725
1e-05		0.0025697		0.0003518		0.0043353
1e-05		0.0026744		0.0064483		0.0087845
1e-05		0.0086295		0.0093245		0.0032133
1e-05		0.0016898		0.0030210		0.0070665
1e-05		0.0042922		0.0025373		0.0099717
1e-05		0.0058235		0.0064185		0.0035731
1e-05		0.0024805		0.0074811		0.0074571
1e-05		0.0008843		0.0063184		0.0074551
1e-05		0.0062858		0.0069928		0.0044584
1e-05		0.0018096		0.0037426		0.0064426
1e-05		0.0037268		0.0041385		0.0023549
1e-05		0.0022647		0.0099469		0.0017298
1e-05		0.0068507		0.0045779		0.0089252
1e-05		0.0001299		0.0001838		0.0029159
1e-05		0.0071218		0.0003562		0.0038175
1e-05		0.0006915		0.0025942		0.0019893
1e-05		0.0095751		0.0083771		0.0063097
1e-05		0.0099248		0.0017888		0.0067132
1e-05		0.0011308		0.0032656		0.0050955
1e-05		0.0013453		0.0020075		0.0095753
1e-05		0.0074151		0.0030637		0.0038543
1e-05		0.0045113		0.0051532		0.0098222
1e-05		0.0014755		0.0090990		0.0061502
1e-05		0.0029966		0.0094019		0.0061524
1e-05		0.0025521		0.0098737		0.0037270
1e-05		0.0066111		0.0097447		0.0005836
1e-05		0.0063439		0.0024498		0.0019273
1e-05		0.0084238		0.0000857		0.0047935
1e-05		0.0080645		0.0056815		0.0092078
1e-05		0.0015090		0.0002637		0.0013913
1e-05		0.0097643		0.0023803		0.0016050
1e-05		0.0094522		0.0066601		0.0051642
1e-05		0.0020063		0.0061692		0.0056999
1e-05		0.0069697		0.0097831		0.0069504
1e-05		0.0079985		0.0061807		0.0061977
1e-05		0.0044536		0.0098173		0.0063699
1e-05		0.0054052		0.0088189		0.0099804
1e-05		0.0056786		0.0056325		0.0002000
1e-05		0.0035851		0.0064883		0.0003929
1e-05		0.0086541		0.0090316		0.0098759
1e-05		0.0049166		0.0014178		0.0018722
1e-05		0.0028934		0.0086959		0.0063609
1e-05		0.0007331		0.0082823		0.0029357
1e-05		0.0089217		0.0055482		0.0079696
1e-05		0.0010592		0.0063553		0.0051962
1e-05		0.0042687		0.0027402		0.0026140
1e-05		0.0062014		0.0092335		0.0073906
1e-05		0.0028874		0.0050562		0.0056559
